ID,Preço,Variação,Variação (%),Horário
HYPE3,R$ 25,08,+0,42 Hoje,1,70%,22/01/2026 - 12:00:22
IFCM3,R$ 0,83,-0,010 Hoje,1,19%,22/01/2026 - 12:00:32
IGTI3,R$ 3,29,+0,010 Hoje,0,30%,22/01/2026 - 12:00:42
INEP3,R$ 1,36,+0,030 Hoje,2,26%,22/01/2026 - 12:00:52
INTB3,R$ 11,21,+0,21 Hoje,1,91%,22/01/2026 - 12:01:02
IRBR3,R$ 55,18,+0,55 Hoje,1,01%,22/01/2026 - 12:01:12
ISAE3,R$ 34,30,0,00 Hoje,0,00%,22/01/2026 - 12:01:21
ITSA3,R$ 12,93,+0,21 Hoje,1,65%,22/01/2026 - 12:01:31
ITUB3,R$ 39,09,+0,66 Hoje,1,72%,22/01/2026 - 12:01:41
JALL3,R$ 3,01,+0,090 Hoje,3,08%,22/01/2026 - 12:01:51
JFEN3,None,None,None,22/01/2026 - 12:02:03
JHSF3,R$ 9,04,-0,010 Hoje,0,11%,22/01/2026 - 12:02:13
JSLG3,R$ 6,42,+0,15 Hoje,2,39%,22/01/2026 - 12:02:23
KEPL3,R$ 10,04,+0,090 Hoje,0,90%,22/01/2026 - 12:02:33
KLBN3,R$ 3,91,+0,090 Hoje,2,36%,22/01/2026 - 12:02:44
LAND3,R$ 8,45,-0,040 Hoje,0,47%,22/01/2026 - 12:02:54
LAVV3,R$ 16,70,+0,26 Hoje,1,58%,22/01/2026 - 12:03:05
LEVE3,R$ 34,11,+0,0100 Hoje,0,029%,22/01/2026 - 12:03:14
LIGT3,R$ 4,40,+0,010 Hoje,0,23%,22/01/2026 - 12:03:24
LJQQ3,R$ 2,51,+0,100 Hoje,4,15%,22/01/2026 - 12:03:34
LOGG3,R$ 26,58,+0,37 Hoje,1,41%,22/01/2026 - 12:03:43
LOGN3,R$ 32,49,+0,19 Hoje,0,59%,22/01/2026 - 12:03:53
LPSB3,R$ 1,66,+0,060 Hoje,3,75%,22/01/2026 - 12:04:03
